metin,etiket,kaynak
"Türkiye Cumhuriyeti, Anadolu ve Trakya'da kurulmuş bir ülkedir.",modern,manuel_modern
Bilim ve teknoloji alanında sürekli gelişim göstermektedir.,modern,manuel_modern
Eğitim sistemi sürekli yenilenmekte ve geliştirilmektedir.,modern,manuel_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,manuel_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,manuel_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,manuel_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,manuel_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,manuel_modern
Sanat ve edebiyat alanında önemli eserler üretilmektedir.,modern,manuel_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,manuel_modern
Bu gün hava pek hoş idi ve biz de gezintiye çıktuk.,osmanlica,manuel_ottoman
Mekteb-i tıbbiye-i şahane'de tahsil görmüş idi.,osmanlica,manuel_ottoman
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,manuel_ottoman
Vakt-i seher olduğunda herkes uyanmış idi.,osmanlica,manuel_ottoman
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,manuel_ottoman
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,manuel_ottoman
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,manuel_ottoman
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,manuel_ottoman
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,manuel_ottoman
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,manuel_ottoman
"Bu film baya iyi ya, kesinlikle izleyin bence.",sosyal,manuel_social
"Abi çok güzel bir konser olmuş, müthiş eğlendik lan.",sosyal,manuel_social
Bu dersi geçmek için çok çalışmak gerekiyor yav.,sosyal,manuel_social
"Arkadaşlarla buluştuk, süper bir gün geçirdik ya.",sosyal,manuel_social
"Bu oyun çok sarıyor abi, bırakamıyorum artık.",sosyal,manuel_social
"Canım çok sıkıldı, bir şeyler yapalım hadi ya.",sosyal,manuel_social
Bu restoran baya pahalı ama yemekleri süper iyi.,sosyal,manuel_social
"Sınavlar yaklaşıyor, çok stresli dönem başlıyor abi.",sosyal,manuel_social
"Bu dizi çok sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,manuel_social
"Hava çok güzel, dışarı çıkalım biraz dolaşalım ya.",sosyal,manuel_social
"Bu gün ava çok güzel olmuş bea, çıkalım dışarı.",agiz,manuel_dialect
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,manuel_dialect
"Bu işi nasıl yapacağız ki, biri yardım etsin bea.",agiz,manuel_dialect
Bu akşam sinemaya gidelim mi canım?,agiz,manuel_dialect
"Çok güzel bir gün olmuş, keyfim yerinde.",agiz,manuel_dialect
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,manuel_dialect
"Çok güzel meyve olmuş, alalım biraz eve.",agiz,manuel_dialect
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,manuel_dialect
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,manuel_dialect
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,manuel_dialect
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Sanat de edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Sanat de edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte de geliştirilmektedir.,modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Eğitim sistemi sürekli yenilenmekte de geliştirilmektedir.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte de geliştirilmektedir.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte de geliştirilmektedir.,modern,variation_modern
Sanat de edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Sanat de edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Eğitim sistemi sürekli yenilenmekte de geliştirilmektedir.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte de geliştirilmektedir.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte de geliştirilmektedir.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte de geliştirilmektedir.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Sanat de edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Spor faaliyetleri toplumsal gelişimin önemli bir parçasıdır.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu ile Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
"Türkiye Cumhuriyeti, Anadolu de Trakya'da kurulmuş bir ülkedir.",modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Çevre dostu politikalar uygulanarak doğa korunmaktadır.,modern,variation_modern
Sağlık hizmetleri tüm vatandaşlara eşit şekilde sunulmaktadır.,modern,variation_modern
Eğitim sistemi sürekli yenilenmekte ile geliştirilmektedir.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Sanat ile edebiyat alanında önemli eserler üretilmektedir.,modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Bilim de teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Teknolojik yenilikler hayatın her alanında kullanılmaktadır.,modern,variation_modern
Bilim ile teknoloji alanında sürekli gelişim göstermektedir.,modern,variation_modern
Kültürel miras korunarak gelecek nesillere aktarılmaktadır.,modern,variation_modern
Ekonomik kalkınma sürdürülebilir büyümeyi hedeflemektedir.,modern,variation_modern
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş imiş.,osmanlica,variation_osmanlica
Bu gün hava pek hoş olmuş idi ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş idi.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş idi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş idi.,osmanlica,variation_osmanlica
