metin,etiket,kaynak
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış imiş.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış imiş.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış imiş.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş idi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş imiş.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş olmuş idi.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Bu yevm hava pek hoş idi ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Bu yevm hava pek hoş imiş ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış imiş.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Bu yevm hava pek hoş imiş ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş olmuş idi.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Bu gün hava pek hoş imiş ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Bu gün hava pek hoş olmuş idi ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış olmuş idi.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Bu gün hava pek hoş imiş ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış idi.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış imiş.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş idi.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Bu yevm hava pek hoş imiş ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Bu yevm hava pek hoş olmuş idi ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış imiş.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Bu gün hava pek hoş imiş ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş olmuş idi.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Bu gün hava pek hoş idi ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış olmuş idi.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Bu yevm hava pek hoş idi ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş olmuş idi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş imiş.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Bu yevm hava pek hoş imiş ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış idi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş olmuş idi.,osmanlica,variation_osmanlica
Bu yevm hava pek hoş imiş ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış imiş.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş olmuş idi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış olmuş idi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Maliye nezareti'nden gelen tezkere okundu.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Bu yevm hava pek hoş imiş ve biz de gezintiye çıktuk.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Padişah-ı zaman efendimizin irade-i seniyyesi sadır oldu.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış imiş.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış olmuş idi.,osmanlica,variation_osmanlica
Serasker paşa hazretleri ordugâha teşrif ettiler.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış idi.,osmanlica,variation_osmanlica
Vakt-i seher olduğunda herkes uyanmış imiş.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Darülfünun'da ders veren müderris efendi geldi.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Devlet-i aliyye'nin emr-i şerifi mucibince hareket edildi.,osmanlica,variation_osmanlica
Mekteb-i tıbbiye-i şahane'de tahsil görmüş imiş.,osmanlica,variation_osmanlica
Babıali'de vukua gelen müzakerat neticesinde karar verildi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
Meclis-i mebusan'da müzakere edilen kanun kabul edildi.,osmanlica,variation_osmanlica
"Sınavlar yawklaşıyor, baya stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Bu oyun süper sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Bu dizi balan sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Hava balan iyi, dışarı çıkalım biraz dolaşalım ya.",sosyal,variation_sosyal
"Abi aşırı harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Bu oyun baabi sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik lan.",sosyal,variation_sosyal
Bu dersi geçmek için süper çalışmak gerekiyor abiv.,sosyal,variation_sosyal
"Bu film baabi iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
Bu dersi geçmek için süper çalışmak gerekiyor yawv.,sosyal,variation_sosyal
"Canım aşırı sıkıldı, bir şeyler lanpalım hadi ya.",sosyal,variation_sosyal
"Canım süper sıkıldı, bir şeyler yawpalım hadi ya.",sosyal,variation_sosyal
"Bu dizi süper sürükleyici lan, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Bu oyun aşırı sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Hava bayaw harika, dışarı çıkalım biraz dolaşalım ya.",sosyal,variation_sosyal
"Bu dizi süper sürükleyici abi, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Abi aşırı harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Sınavlar abiklaşıyor, aşırı stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik lan.",sosyal,variation_sosyal
"Bu oyun aşırı sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Bu oyun aşırı sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Bu dizi aşırı sürükleyici yaw, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Bu film bayaw iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Hava süper iyi, dışarı çıkalım biraz dolaşalım yaw.",sosyal,variation_sosyal
"Bu dizi baabi sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Bu oyun aşırı sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Bu film balan iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
Bu restoran balan pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Canım baabi sıkıldı, bir şeyler yapalım hadi ya.",sosyal,variation_sosyal
Bu restoran bayaw pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Canım aşırı sıkıldı, bir şeyler yawpalım hadi ya.",sosyal,variation_sosyal
"Hava aşırı iyi, dışarı çıkalım biraz dolaşalım lan.",sosyal,variation_sosyal
"Abi süper mükemmel bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Hava süper iyi, dışarı çıkalım biraz dolaşalım lan.",sosyal,variation_sosyal
"Bu dizi bayaw sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Bu dizi aşırı sürükleyici lan, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Bu film bayaw iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Bu oyun süper sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Canım süper sıkıldı, bir şeyler yawpalım hadi ya.",sosyal,variation_sosyal
"Canım aşırı sıkıldı, bir şeyler lanpalım hadi ya.",sosyal,variation_sosyal
Bu dersi geçmek için süper çalışmak gerekiyor yawv.,sosyal,variation_sosyal
"Bu dizi aşırı sürükleyici lan, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Bu oyun bayaw sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik yaw.",sosyal,variation_sosyal
"Bu dizi süper sürükleyici yaw, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Bu film bayaw iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Sınavlar lanklaşıyor, baya stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Bu film bayaw iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik yaw.",sosyal,variation_sosyal
"Abi süper harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Bu oyun süper sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Bu oyun aşırı sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Bu film bayaw iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Bu film bayaw iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Hava baabi iyi, dışarı çıkalım biraz dolaşalım ya.",sosyal,variation_sosyal
"Hava süper mükemmel, dışarı çıkalım biraz dolaşalım lan.",sosyal,variation_sosyal
Bu restoran bayaw pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik yaw.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik lan.",sosyal,variation_sosyal
Bu restoran balan pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
Bu dersi geçmek için aşırı çalışmak gerekiyor abiv.,sosyal,variation_sosyal
"Sınavlar yawklaşıyor, baya stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Hava süper iyi, dışarı çıkalım biraz dolaşalım yaw.",sosyal,variation_sosyal
"Abi baabi harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
Bu restoran baabi pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Bu film bayaw iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
Bu restoran baabi pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Bu oyun aşırı sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Sınavlar abiklaşıyor, süper stresli dönem başlıyor abi.",sosyal,variation_sosyal
Bu dersi geçmek için süper çalışmak gerekiyor lanv.,sosyal,variation_sosyal
"Bu dizi süper sürükleyici lan, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
Bu restoran baabi pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Sınavlar lanklaşıyor, baya stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik abi.",sosyal,variation_sosyal
"Hava aşırı harika, dışarı çıkalım biraz dolaşalım lan.",sosyal,variation_sosyal
"Canım bayaw sıkıldı, bir şeyler yapalım hadi ya.",sosyal,variation_sosyal
Bu restoran bayaw pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
Bu restoran balan pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Hava süper iyi, dışarı çıkalım biraz dolaşalım abi.",sosyal,variation_sosyal
"Sınavlar yawklaşıyor, süper stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Abi süper harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Hava bayaw harika, dışarı çıkalım biraz dolaşalım ya.",sosyal,variation_sosyal
Bu restoran baabi pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
