metin,etiket,kaynak
Bu restoran balan pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
Bu restoran baabi pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Abi süper harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Hava süper harika, dışarı çıkalım biraz dolaşalım lan.",sosyal,variation_sosyal
Bu dersi geçmek için baabi çalışmak gerekiyor yav.,sosyal,variation_sosyal
"Bu dizi süper sürükleyici abi, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
Bu dersi geçmek için süper çalışmak gerekiyor abiv.,sosyal,variation_sosyal
"Bu oyun süper sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Bu dizi aşırı sürükleyici yaw, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Canım baabi sıkıldı, bir şeyler yapalım hadi ya.",sosyal,variation_sosyal
Bu restoran balan pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Hava bayaw mükemmel, dışarı çıkalım biraz dolaşalım ya.",sosyal,variation_sosyal
"Canım süper sıkıldı, bir şeyler yawpalım hadi ya.",sosyal,variation_sosyal
"Bu film balan iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Bu dizi balan sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Sınavlar lanklaşıyor, süper stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Sınavlar lanklaşıyor, aşırı stresli dönem başlıyor abi.",sosyal,variation_sosyal
Bu dersi geçmek için aşırı çalışmak gerekiyor yawv.,sosyal,variation_sosyal
Bu dersi geçmek için aşırı çalışmak gerekiyor abiv.,sosyal,variation_sosyal
Bu dersi geçmek için aşırı çalışmak gerekiyor lanv.,sosyal,variation_sosyal
"Hava aşırı iyi, dışarı çıkalım biraz dolaşalım yaw.",sosyal,variation_sosyal
"Abi aşırı harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Bu oyun aşırı sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
Bu dersi geçmek için aşırı çalışmak gerekiyor lanv.,sosyal,variation_sosyal
"Abi aşırı harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik abi.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik lan.",sosyal,variation_sosyal
"Bu dizi baabi sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Bu dizi balan sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik yaw.",sosyal,variation_sosyal
"Bu dizi balan sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Hava süper mükemmel, dışarı çıkalım biraz dolaşalım yaw.",sosyal,variation_sosyal
"Abi aşırı harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik abi.",sosyal,variation_sosyal
Bu dersi geçmek için baabi çalışmak gerekiyor yav.,sosyal,variation_sosyal
Bu restoran balan pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
Bu dersi geçmek için bayaw çalışmak gerekiyor yav.,sosyal,variation_sosyal
"Bu oyun aşırı sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Sınavlar abiklaşıyor, aşırı stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Canım süper sıkıldı, bir şeyler abipalım hadi ya.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik lan.",sosyal,variation_sosyal
"Sınavlar yawklaşıyor, baya stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Bu oyun aşırı sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Abi süper harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Bu oyun süper sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Canım süper sıkıldı, bir şeyler abipalım hadi ya.",sosyal,variation_sosyal
"Abi bayaw mükemmel bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
Bu dersi geçmek için baabi çalışmak gerekiyor yav.,sosyal,variation_sosyal
"Bu oyun süper sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik yaw.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik yaw.",sosyal,variation_sosyal
"Bu dizi baabi sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik abi.",sosyal,variation_sosyal
"Canım balan sıkıldı, bir şeyler yapalım hadi ya.",sosyal,variation_sosyal
"Bu oyun süper sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
Bu restoran balan pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Canım süper sıkıldı, bir şeyler lanpalım hadi ya.",sosyal,variation_sosyal
"Sınavlar abiklaşıyor, baya stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Hava baabi iyi, dışarı çıkalım biraz dolaşalım ya.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik abi.",sosyal,variation_sosyal
"Sınavlar lanklaşıyor, süper stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Bu dizi süper sürükleyici lan, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
Bu dersi geçmek için süper çalışmak gerekiyor abiv.,sosyal,variation_sosyal
"Hava süper harika, dışarı çıkalım biraz dolaşalım yaw.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik yaw.",sosyal,variation_sosyal
"Bu dizi aşırı sürükleyici abi, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
Bu dersi geçmek için aşırı çalışmak gerekiyor yawv.,sosyal,variation_sosyal
"Canım balan sıkıldı, bir şeyler yapalım hadi ya.",sosyal,variation_sosyal
"Bu oyun süper sarıyor abi, bırakamıyorum artık.",sosyal,variation_sosyal
Bu dersi geçmek için aşırı çalışmak gerekiyor abiv.,sosyal,variation_sosyal
"Sınavlar lanklaşıyor, süper stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Abi süper iyi bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
Bu restoran balan pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Bu dizi bayaw sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
Bu restoran bayaw pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Bu dizi balan sürükleyici ya, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Sınavlar lanklaşıyor, aşırı stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik yaw.",sosyal,variation_sosyal
Bu restoran baabi pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
Bu restoran baabi pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Abi bayaw harika bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik yaw.",sosyal,variation_sosyal
Bu restoran balan pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
Bu restoran bayaw pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik abi.",sosyal,variation_sosyal
"Bu dizi aşırı sürükleyici lan, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Sınavlar yawklaşıyor, baya stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Bu dizi aşırı sürükleyici yaw, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Canım aşırı sıkıldı, bir şeyler lanpalım hadi ya.",sosyal,variation_sosyal
"Hava süper iyi, dışarı çıkalım biraz dolaşalım lan.",sosyal,variation_sosyal
"Bu dizi aşırı sürükleyici lan, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
"Bu film baabi iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Sınavlar yawklaşıyor, süper stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Bu film bayaw iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Hava aşırı mükemmel, dışarı çıkalım biraz dolaşalım lan.",sosyal,variation_sosyal
"Bu dizi süper sürükleyici lan, bir bölüm izliyorum diğeri başlıyor.",sosyal,variation_sosyal
Bu dersi geçmek için aşırı çalışmak gerekiyor abiv.,sosyal,variation_sosyal
Bu dersi geçmek için balan çalışmak gerekiyor yav.,sosyal,variation_sosyal
"Arkadaşlarla buluştuk, süper bir gün geçirdik yaw.",sosyal,variation_sosyal
Bu restoran balan pahalı ama yemekleri süper iyi.,sosyal,variation_sosyal
Bu dersi geçmek için aşırı çalışmak gerekiyor abiv.,sosyal,variation_sosyal
Bu dersi geçmek için balan çalışmak gerekiyor yav.,sosyal,variation_sosyal
"Abi süper mükemmel bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Abi süper iyi bir konser olmuş, müthiş eğlendik lan.",sosyal,variation_sosyal
"Bu film baabi iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Bu film baabi iyi ya, kesinlikle izleyin bence.",sosyal,variation_sosyal
"Sınavlar abiklaşıyor, süper stresli dönem başlıyor abi.",sosyal,variation_sosyal
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu gün ava baya hoş olmuş be, çıkalım dışarı.",agiz,variation_agiz
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu gün ava baya iyi olmuş be, çıkalım dışarı.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Çok hoş bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Çok iyi bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Bu kış baya soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu gün ava çok iyi olmuş ya, çıkalım dışarı.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Bu kış baya soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Çok hoş bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu gün ava çok iyi olmuş be, çıkalım dışarı.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin be.",agiz,variation_agiz
"Çok hoş meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Bu gün ava baya iyi olmuş ya, çıkalım dışarı.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Bu gün ava baya iyi olmuş ya, çıkalım dışarı.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Çok iyi bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin be.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çok hoş meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Bu yemek baya lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Bu yemek baya lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin ya.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin ya.",agiz,variation_agiz
"Bu yemek baya lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin be.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Bu gün ava çok hoş olmuş ya, çıkalım dışarı.",agiz,variation_agiz
"Bu gün ava baya iyi olmuş ya, çıkalım dışarı.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin ya.",agiz,variation_agiz
"Çok iyi meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin be.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu kış baya soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu gün ava baya hoş olmuş ya, çıkalım dışarı.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Çok hoş bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çok hoş bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Bu kış baya soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu yemek baya lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Çok hoş meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Çok hoş meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Çok iyi bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Bu yemek baya lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Çok hoş bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin be.",agiz,variation_agiz
"Çok hoş bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Çok hoş meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Bu gün ava çok hoş olmuş ya, çıkalım dışarı.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin be.",agiz,variation_agiz
"Çok iyi bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Çok hoş bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çok hoş bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Çok iyi meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Bu yemek baya lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu kış baya soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu yemek baya lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Çok iyi bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Çok iyi meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu gün ava baya iyi olmuş be, çıkalım dışarı.",agiz,variation_agiz
"Bu yemek baya lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin ya.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Çok iyi bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Çok iyi meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Bu kış baya soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin be.",agiz,variation_agiz
"Çok iyi meyve olmuş, alalım biraz eve.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Çok iyi bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin ya.",agiz,variation_agiz
"Bu gün ava çok hoş olmuş be, çıkalım dışarı.",agiz,variation_agiz
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu gün ava çok iyi olmuş ya, çıkalım dışarı.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Bu kış baya soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin ya.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu gün ava baya iyi olmuş be, çıkalım dışarı.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu gün ava çok iyi olmuş ya, çıkalım dışarı.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Çok hoş meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Bu yemek baya lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin be.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin be.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu gün ava çok hoş olmuş be, çıkalım dışarı.",agiz,variation_agiz
"Bu kış baya soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu gün ava baya iyi olmuş ya, çıkalım dışarı.",agiz,variation_agiz
"Çok hoş meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Bu gün ava çok iyi olmuş be, çıkalım dışarı.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin ya.",agiz,variation_agiz
"Bu yemek çok lezzetli olmuş, afiyet olsun.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin ya.",agiz,variation_agiz
"Bu kış baya soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin ya.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
Bu akşam sinemaya gidelim mi canım?,agiz,variation_agiz
"Çok iyi bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Çok iyi meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Çok iyi meyve olmuş, alalım biraz eve.",agiz,variation_agiz
"Çok hoş bir gün olmuş, keyfim yerinde.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
"Bu işi böyle yapmayalım da, başka türlü yapalım.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu kış çok soğuk geçti, bahar gelse artık.",agiz,variation_agiz
"Bu gün ava çok hoş olmuş be, çıkalım dışarı.",agiz,variation_agiz
"Çayımızı içelim de, biraz sohbet edelim ya.",agiz,variation_agiz
"Bu işi nasıl yapacağız ki, biri yardım etsin be.",agiz,variation_agiz
"Çiftlikte işler iyi gidiyor, hamdolsun.",agiz,variation_agiz
